Stage,Mission,Name,Requirements,Failable,Rewards,Procedure
1,1,Lost Pet,-,No,1 coin,"For every action, probability of finding pet is excavating/2."
1,2,Untidy Home,-,No,String and beads and pre-req to 4.7,Stay at person's home for 4 actions.
1,3,Guard Duty,Beginning of round,Yes,1 level 1 ore of choice and pre-req to 2.7,Stay at home for 1 round. A robber enters on second action with combat lvl 6.
1,4,Something Special,-,No,Persuasion or Crafting level increases by 1 (if less than 6),Bring the boy a crafted item. The probability that they will accept it is (persuasion+sell cost/4) per action.
1,5,Young Warrior,-,No,Reduces the effect of stability impacting your attack by 1 point.,"Per action, playfully spare with young boy. Probability of boy being satisfied is (base attack/5) - No xp is awarded."
1,6,Librarian's Son,-,No,Pre-req for 2.5,Bring a knowledge book to the boy.
1,7,Play Pin,-,No,Pre-req for 3.8,Bring sand to put in a play-pin
1,8,Rare Find,Fruit,No,Pre-req for 5.6,"Go to the plains, if you would normally find an animal, you find a baby mammoth instead. Lead it to your city (must have fruit with you) and give it to zoo keeper."
2,1,Overheating,-,No,Using their smithing quarters becomes free,Go to Benfriege and ask for special cooling cubes (purchase for 3 coins from market - apply market bartering if desired). Bring to your city and apply cubes for 2 actions to overheating smith.
2,2,Mystery Robber,-,No,Subtract 1 from anything in market >4 coins,"Hide out near stores until you find the robber (probability of finding is stealth+1/5). Once found, engage with robber lvl 30. Quest complete even if you lose."
2,3,Protection Services,2.6 cannot be active,Yes,10 coins,"Follow nobleman to the most distant city to you and protect them from robbers (stealth does not work). If you faint, you fail."
2,4,Mother Serpent,-,No,"If encounter a serpent when fishing, 2/3 probabilty that you get 2 scales without fighitng.","Go to the nearest pond, the probability of finding the serpent is 1/3 and nothing else will appear (not emptied if not found). Once found, attack with companion with cmbt lvl 35 a sea serpent cmbt lvl of 50. If you fail, try again."
2,5,Librarian's Secret,1.6,No,Books increase xp by 7 instead of 4 and pre-req to 4.1,Find librarian's secret book left at your nearest old library. Seek out a hermit and pursuade them to help you identify it (p/5) - this replaces the friend/foe probability.
2,6,The Letter,2.3 cannot be active,No,Move up to 3 spaces on roads in one action,"Take the letter to the most distant city to you except the highway robber probabilities double. If you faint, start again from your city."
2,7,Smither's Dilemna,1.4,No,Get 2 lvl 3 smithing material of your choice.,Bring one of each lvl 2 ores to smith.
2,8,Ninja's Way,-,No,Increase stealth by 2 (max 8) and pre-req to 5.7,Go to either Zinzibar or Enfeir and ask the master of stealth to write a book (persuasion/8 success rate). Wait 5 rounds for them to write the book. Return to your city and present it to the librarian.
3,1,Feed the Poor,-,No,Max eat actions increase by 2 and 1/4 chances of receiving well cooked meat/fish when entering city,Bring a total of 10 pieces of food (cooked or fruit) to the city.
3,2,Fitness Training,-,No,"Increase survival by 1, excavating by 1, gathering by 1, and max fatigue by 2 (max 8 for skills)","Take 3 adventurers lvl 15 to the top of a mountain (tier 3), find ore worth a total of 5 coins (sell cost), then go  to the plains and gather 5 pieces of meat. All without visiting a city. If you faint or visit a city, start again."
